id,iso_code,name,long,lat,region_id
1,ARM,Armenia,44.50899887,40.1595993,5305
2,AFG,Afghanistan,69.17610168,34.52280045,5303
3,ALB,Albania,19.81719971,41.33169937,5403
4,DZA,Algeria,3.050970078,36.73970032,5103
5,ASM,American Samoa,-170.6909943,-14.28460026,5504
6,ADO,Andorra,NULL,NULL,5403
7,AGO,Angola,13.24199963,-8.81155014,5102
8,ATG,Antigua and Barbuda,-61.84560013,17.11750031,5206
9,ARG,Argentina,-58.41730118,-34.61180115,5207
10,AUS,Australia,149.1289978,-35.2820015,5501
11,AUT,Austria,16.3798008,48.2201004,5404
12,BHS,"Bahamas, The",-77.33899689,25.06609917,5206
13,BHR,Bahrain,50.53540039,26.19210052,5305
14,BRB,Barbados,-59.61050034,13.09350014,5206
15,NULL,Belgium-Luxembourg,NULL,NULL,5404
16,BGD,Bangladesh,90.41130066,23.70549965,5303
17,BMU,Bermuda,-64.70600128,32.32929993,5203
18,BTN,Bhutan,89.61769867,27.57679939,5303
19,BOL,Bolivia,-66.19360352,-13.9907999,5207
20,BWA,Botswana,25.92009926,-24.65439987,5104
21,BRA,Brazil,-47.92919922,-15.78009987,5207
22,ABW,Aruba,-70.01670074,12.51669979,5206
23,BLZ,Belize,-88.77130127,17.2534008,5204
24,IOT,British Indian Ocean Territory,NULL,NULL,5101
25,SLB,Solomon Islands,159.9490051,-9.42675972,5502
26,BRN,Brunei Darussalam,114.9459991,4.941989899,5304
27,BGR,Bulgaria,23.32379913,42.71049881,5401
28,MMR,Myanmar,95.95619965,21.91399956,5304
29,BDI,Burundi,29.36389923,-3.378400087,5101
30,ATA,Antarctica,NULL,NULL,5600
32,CMR,Cameroon,11.51739979,3.872100115,5102
33,CAN,Canada,-75.69190216,45.42150116,5203
35,CPV,Cape Verde,-23.50869942,14.92179966,5105
36,CYM,Cayman Islands,-81.38569641,19.30220032,5206
37,CAF,Central African Republic,21.64069939,5.630559921,5102
38,LKA,Sri Lanka,79.85279846,6.921480179,5303
39,TCD,Chad,15.04450035,12.10480022,5102
40,CHL,Chile,-70.64749908,-33.47499847,5207
42,CXR,Christmas Island,NULL,NULL,5501
43,CCK,Cocos (Keeling) Islands,NULL,NULL,5501
44,COL,Colombia,-74.08200073,4.609869957,5207
45,COM,Comoros,43.2417984,-11.69859982,5101
46,COG,"Congo, Rep.",15.26620007,-4.27670002,5102
47,COK,Cook Islands,NULL,NULL,5504
48,CRI,Costa Rica,-84.0089035,9.637009621,5204
49,CUB,Cuba,-82.36669922,23.13330078,5206
50,CYP,Cyprus,33.37360001,35.16759872,5305
51,CSK,Czechoslovakia,NULL,NULL,5401
52,AZE,Azerbaijan,49.89319992,40.38339996,5305
53,BEN,Benin,2.6322999,6.477900028,5105
54,DNK,Denmark,12.56809998,55.67630005,5402
55,DMA,Dominica,-61.38999939,15.29759979,5206
56,DOM,Dominican Republic,-69.89080048,18.47900009,5206
57,BLR,Belarus,27.57659912,53.96780014,5401
58,ECU,Ecuador,-78.52429962,-0.229497999,5207
59,EGY,"Egypt, Arab Rep.",31.24609947,30.09819984,5103
60,SLV,El Salvador,-89.20729828,13.70339966,5204
61,GNQ,Equatorial Guinea,8.774100304,3.752300024,5102
62,NULL,Ethiopia PDR,NULL,NULL,5101
63,EST,Estonia,24.75860023,59.43920135,5402
64,FRO,Faeroe Islands,-6.911809921,61.89260101,5402
65,FLK,Falkland Islands (Malvinas),NULL,NULL,5207
66,FJI,Fiji,178.3990021,-18.11490059,5502
67,FIN,Finland,24.95249939,60.16080093,5402
68,FRA,France,2.35097003,48.85660172,5404
69,GUF,French Guiana,NULL,NULL,5207
70,PYF,French Polynesia,-149.5700073,-17.53499985,5504
71,ATF,French Southern and Antarctic Territories,NULL,NULL,5600
72,DJI,Djibouti,43.14250183,11.58059978,5101
73,GEO,Georgia,44.79299927,41.70999908,5305
74,GAB,Gabon,9.451620102,0.388319999,5102
75,GMB,"Gambia, The",-16.58849907,13.44950008,5105
79,DEU,Germany,13.41149998,52.52349854,5404
80,BIH,Bosnia and Herzegovina,18.42140007,43.8606987,5403
81,GHA,Ghana,-0.207949996,5.570449829,5105
82,GIB,Gibraltar,NULL,NULL,5403
83,KIR,Kiribati,172.9790039,1.329049945,5503
84,GRC,Greece,23.71660042,37.97919846,5403
85,GRL,Greenland,-51.72140121,64.18360138,5203
86,GRD,Grenada,-61.74489975,12.06529999,5206
87,GLP,Guadeloupe,NULL,NULL,5206
88,GUM,Guam,144.7940063,13.4442997,5503
89,GTM,Guatemala,-90.53279877,14.62479973,5204
90,GIN,Guinea,-13.69999981,9.516670227,5105
91,GUY,Guyana,-58.15480042,6.804609776,5207
93,HTI,Haiti,-72.32879639,18.53919983,5206
94,VAT,Holy See,NULL,NULL,5403
95,HND,Honduras,-87.46669769,15.13329983,5204
96,HKG,"Hong Kong SAR, China",114.1090012,22.39640045,5302
97,HUN,Hungary,19.04080009,47.49840164,5401
98,HRV,Croatia,15.96140003,45.80690002,5403
99,ISL,Iceland,-21.89520073,64.13529968,5402
100,IND,India,77.22499847,28.63529968,5303
101,IDN,Indonesia,106.8300018,-6.197519779,5304
102,IRN,"Iran, Islamic Rep.",51.44469833,35.68780136,5303
103,IRQ,Iraq,44.39400101,33.3302002,5305
104,IRL,Ireland,-6.26748991,53.34410095,5402
105,ISR,Israel,35.20349884,31.77169991,5305
106,ITA,Italy,12.4822998,41.89550018,5403
107,CIV,Côte d'Ivoire,-4.030499935,5.331999779,5105
108,KAZ,Kazakhstan,71.4382019,51.18790054,5301
109,JAM,Jamaica,-76.79199982,17.99270058,5206
110,JPN,Japan,139.7700043,35.66999817,5302
112,JOR,Jordan,35.92630005,31.9496994,5305
113,KGZ,Kyrgyz Republic,74.60569763,42.88510132,5301
114,KEN,Kenya,36.81259918,-1.27974999,5101
115,KHM,Cambodia,104.8740005,11.55560017,5304
116,PRK,"Korea, Dem. Rep.",125.7539978,39.0318985,5302
117,KOR,"Korea, Rep.",126.9570007,37.53229904,5302
118,KWT,Kuwait,47.98239899,29.37210083,5305
119,LVA,Latvia,24.10479927,56.94649887,5402
120,LAO,Lao PDR,102.177002,18.58259964,5304
121,LBN,Lebanon,35.51340103,33.8871994,5305
122,LSO,Lesotho,27.7166996,-29.52079964,5104
123,LBR,Liberia,-10.79570007,6.300389767,5105
124,LBY,Libya,13.10719967,32.85779953,5103
125,LIE,Liechtenstein,9.521479607,47.14110184,5404
126,LTU,Lithuania,25.2798996,54.6896019,5402
127,MHL,Marshall Islands,171.1349945,7.110459805,5503
128,MAC,"Macao SAR, China",113.5500031,22.16670036,5302
129,MDG,Madagascar,45.71670151,-20.4666996,5101
130,MWI,Malawi,33.77030182,-13.98989964,5101
131,MYS,Malaysia,101.6839981,3.124330044,5304
132,MDV,Maldives,73.5109024,4.174200058,5303
133,MLI,Mali,-7.500339985,13.56669998,5105
134,MLT,Malta,14.51889992,35.90420151,5403
135,MTQ,Martinique,NULL,NULL,5206
136,MRT,Mauritania,-15.98239994,18.23670006,5105
137,MUS,Mauritius,57.49769974,-20.16049957,5101
138,MEX,Mexico,-99.12760162,19.42700005,5204
140,MCO,Monaco,7.418910027,43.73249817,5404
141,MNG,Mongolia,106.9369965,47.91289902,5302
142,MSR,Montserrat,NULL,NULL,5206
143,MAR,Morocco,-6.870399952,33.9905014,5103
144,MOZ,Mozambique,32.57130051,-25.96640015,5101
145,FSM,"Micronesia, Fed. Sts.",158.1849976,6.917709827,5503
146,MDA,Moldova,28.84970093,47.01670074,5401
147,NAM,Namibia,17.09309959,-22.56480026,5104
148,NRU,Nauru,NULL,NULL,5503
149,NPL,Nepal,85.31569672,27.69389915,5303
150,NLD,Netherlands,4.890950203,52.37379837,5404
151,ANT,Netherlands Antilles,NULL,NULL,5206
153,NCL,New Caledonia,166.4640045,-22.2677002,5502
154,MKD,"Macedonia, FYR",21.43610001,42.00239944,5403
155,VUT,Vanuatu,168.3209991,-17.74040031,5502
156,NZL,New Zealand,174.776001,-41.28649902,5501
157,NIC,Nicaragua,-86.27339935,12.14750004,5204
158,NER,Niger,2.107300043,13.51399994,5105
159,NGA,Nigeria,7.489059925,9.058039665,5105
160,NIU,Niue,NULL,NULL,5504
161,NFK,Norfolk Island,NULL,NULL,5501
162,NOR,Norway,10.73869991,59.91379929,5402
163,MNP,Northern Mariana Islands,145.7649994,15.19349957,5503
164,PCI,Pacific Islands Trust Territory,NULL,NULL,5503
165,PAK,Pakistan,72.80000305,30.51670074,5303
166,PAN,Panama,-79.51879883,8.994270325,5204
167,CZE,Czech Republic,14.4204998,50.08779907,5401
168,PNG,Papua New Guinea,147.1940002,-9.47356987,5502
169,PRY,Paraguay,-57.63619995,-25.30050087,5207
170,PER,Peru,-77.04650116,-12.09309959,5207
171,PHL,Philippines,121.0350037,14.55150032,5304
172,PCN,Pitcairn,NULL,NULL,5504
173,POL,Poland,21.02000046,52.25999832,5401
174,PRT,Portugal,-9.135519981,38.7071991,5403
175,GNB,Guinea-Bissau,-15.18039989,11.80370045,5105
176,TMP,Timor-Leste,NULL,NULL,5304
177,PRI,Puerto Rico,-66,18.22999954,5206
178,ERI,Eritrea,38.91830063,15.33150005,5101
179,QAT,Qatar,51.5082016,25.2947998,5305
180,PLW,Palau,134.4790039,7.341939926,5503
181,ZWE,Zimbabwe,31.06719971,-17.83119965,5101
182,REU,Réunion,NULL,NULL,5101
183,ROM,Romania,NULL,NULL,5401
184,RWA,Rwanda,30.05870056,-1.953250051,5101
185,RUS,Russia,37.61759949,55.75579834,5401
186,SCG,Serbia and Montenegro,NULL,NULL,5403
187,SHN,"Saint Helena, Ascension and Tristan da Cunha",NULL,NULL,5105
188,KNA,St. Kitts and Nevis,-62.73089981,17.29999924,5206
189,LCA,St. Lucia,-60.98320007,14,5206
190,SPM,Saint Pierre and Miquelon,NULL,NULL,5203
191,VCT,St. Vincent and the Grenadines,-61.26530075,13.20349979,5206
192,SMR,San Marino,12.44859982,43.93220139,5403
193,STP,São Tomé and Principe,6.60710001,0.206180006,5102
194,SAU,Saudi Arabia,46.6977005,24.67480087,5305
195,SEN,Senegal,-17.47340012,14.72469997,5105
196,SYC,Seychelles,55.44660187,-4.630899906,5101
197,SLE,Sierra Leone,-13.21339989,8.482099533,5105
198,SVN,Slovenia,14.50440025,46.05459976,5403
199,SVK,Slovak Republic,17.1072998,48.14839935,5401
200,SGP,Singapore,103.8499985,1.289409995,5304
201,SOM,Somalia,45.32540131,2.075150013,5101
202,ZAF,South Africa,28.18709946,-25.74600029,5104
203,ESP,Spain,-3.703269958,40.41669846,5403
205,ESH,Western Sahara,NULL,NULL,5103
206,SDN,Sudan,32.53630066,15.59319973,5103
207,SUR,Suriname,-55.16790009,5.823200226,5207
208,TJK,Tajikistan,68.78639984,38.58779907,5301
209,SWZ,Swaziland,31.46590042,-26.52249908,5104
210,SWE,Sweden,18.06450081,59.33269882,5402
211,CHE,Switzerland,7.448209763,46.94800186,5404
212,SYR,Syrian Arab Republic,36.31190109,33.51459885,5305
213,TKM,Turkmenistan,58.37939835,37.95090103,5301
215,TZA,Tanzania,35.73820114,-6.174860001,5101
216,THA,Thailand,100.5210037,13.73079967,5304
217,TGO,Togo,1.225499988,6.122799873,5105
218,TKL,Tokelau,NULL,NULL,5504
219,TON,Tonga,-175.2160034,-21.13599968,5504
220,TTO,Trinidad and Tobago,-61.47890091,10.65960026,5206
221,OMN,Oman,58.58739853,23.61050034,5305
222,TUN,Tunisia,10.21000004,36.78990173,5103
223,TUR,Turkey,32.36059952,39.71530151,5305
224,TCA,Turks and Caicos Islands,-71.14138794,21.46027756,5206
225,ARE,United Arab Emirates,54.37049866,24.47640038,5305
226,UGA,Uganda,32.57289886,0.314269006,5101
227,TUV,Tuvalu,179.0895691,-8.631487846,5504
228,SUN,USSR,NULL,NULL,5401
229,GBR,United Kingdom,-0.126236007,51.50019836,5402
230,UKR,Ukraine,30.50379944,50.45360184,5401
231,USA,United States,-77.03199768,38.88949966,5203
233,BFA,Burkina Faso,-1.533949971,12.36050034,5105
234,URY,Uruguay,-56.06750107,-34.89410019,5207
235,UZB,Uzbekistan,69.26899719,41.30519867,5301
236,VEN,"Venezuela, RB",-69.83709717,9.08164978,5207
237,VNM,Vietnam,105.8249969,21.00690079,5304
238,ETH,Ethiopia,38.74679947,9.022740364,5101
239,VGB,British Virgin Islands,NULL,NULL,5206
240,VIR,Virgin Islands (U.S.),-64.89630127,18.33580017,5206
242,WAK,Wake Island,NULL,NULL,5504
243,WLF,Wallis and Futuna Islands,NULL,NULL,5504
244,WSM,Samoa,-171.7519989,-13.83139992,5504
248,YUG,Yugoslav SFR,NULL,NULL,5403
249,YEM,"Yemen, Rep.",44.20750046,15.35200024,5305
250,ZAR,"Congo, Dem. Rep.",NULL,NULL,5102
251,ZMB,Zambia,28.29369926,-15.39820004,5101
255,BEL,Belgium,4.367609978,50.83710098,5404
256,LUX,Luxembourg,6.129600048,49.61000061,5404
258,AIA,Anguilla,NULL,NULL,5206
259,CHI,Channel Islands,0,0,5402
260,SJM,Svalbard and Jan Mayen Islands,NULL,NULL,5402
264,IMY,Isle of Man,NULL,NULL,5402
270,MYT,Mayotte,NULL,NULL,5101
272,SRB,Serbia,20.46559906,44.80239868,5403
273,MNE,Montenegro,19.2595005,42.46020126,5403
276,SDN,Sudan,32.53630066,15.59319973,5103
277,SSD,South Sudan,31.60000038,4.849999905,5103
299,PSE,"Palestinian Territory, Occupied",0,0,5305
351,CHN,China,116.2860031,40.04949951,5302
357,CHN,China,116.2860031,40.04949951,5302
